INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,LONGITUD,LATITUD,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
0390D,2006,11,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
0390D,2006,12,OLOT (PARC NOU),440,228471,421015,0,0,0,0,65,0,0,4,0,0,0,15,0,50,122,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0390D,2007,1,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,18
0390D,2007,2,OLOT (PARC NOU),440,228471,421015,0,0,0,0,69,1,0,99,1,0,0,25,0,0,0,0,182,13,0,1,1,0,88,0,83,0,0,0,,,
0390D,2007,3,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,10,12,0,0,0,0,0,21,2,5,88,0,71,0
0390D,2007,4,OLOT (PARC NOU),440,228471,421015,160,657,127,55,6,0,0,0,68,18,2,351,388,58,8,0,0,0,0,0,0,0,0,0,0,3,0,12,4,7,
0390D,2007,5,OLOT (PARC NOU),440,228471,421015,233,42,9,21,15,0,0,0,0,0,0,0,0,416,0,0,0,0,0,34,4,0,0,0,0,143,170,0,0,4,2
0390D,2007,6,OLOT (PARC NOU),440,228471,421015,0,0,0,187,0,57,0,0,239,0,0,5,0,8,0,4,0,8,0,0,0,0,0,0,0,0,0,0,108,0,
0390D,2007,7,OLOT (PARC NOU),440,228471,421015,0,0,0,4,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
0390D,2007,8,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,150,140,5,0,0,0,380,0,0,0,39,0,40,100,0,61,23,160,5,0,0,0,1,1,0,0
0390D,2007,9,OLOT (PARC NOU),440,228471,421015,5,0,10,0,0,0,0,0,0,0,0,0,82,0,0,0,11,1,0,0,1,151,0,13,0,0,0,0,0,0,
0390D,2007,10,OLOT (PARC NOU),440,228471,421015,0,0,0,162,2,0,45,69,25,320,0,0,0,0,0,0,5,0,0,0,0,0,0,9,15,15,0,0,0,0,0
0390D,2007,11,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,40,38,0,0,0,0,0,0,0,
0390D,2007,12,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,3,0,0,0,0,0,0,63,0,0,0,0,10,133,44,0,0,0,0,0,0,0,0,0
0390D,2008,1,OLOT (PARC NOU),440,228471,421015,0,0,58,0,2,0,0,10,2,3,48,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2008,2,OLOT (PARC NOU),440,228471,421015,0,0,195,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,11,0,0,38,0,2,12,0,0,44,,
0390D,2008,3,OLOT (PARC NOU),440,228471,421015,0,0,0,18,0,0,0,0,80,0,0,0,0,0,0,0,0,145,45,0,0,131,0,0,0,70,0,0,0,325,0
0390D,2008,4,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,1,0,0,78,101,3,21,20,0,0,12,65,0,13,47,20,23,0,0,0,0,130,0,1,
0390D,2008,5,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,6,0,0,223,330,50,1,218,1,0,36,155,10,0,10,0,42,5,189,263,80,67,0,0,3,24
0390D,2008,6,OLOT (PARC NOU),440,228471,421015,58,308,145,0,121,0,68,0,0,10,1,0,251,0,22,10,17,0,0,0,0,0,0,0,0,210,0,0,0,235,
0390D,2008,7,OLOT (PARC NOU),440,228471,421015,2,0,0,0,0,59,0,0,0,0,58,296,20,0,0,0,0,0,11,0,3,0,0,0,296,0,0,0,0,0,0
0390D,2008,8,OLOT (PARC NOU),440,228471,421015,0,0,0,3,0,0,0,0,0,10,111,0,0,115,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,22
0390D,2008,9,OLOT (PARC NOU),440,228471,421015,15,1,0,0,21,0,0,0,0,0,135,0,29,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,
0390D,2008,10,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,32,46,0,0,0,0,13,18,0,38,28,2,0,0,0,27,2,6,0,0,0,168,30,0,109
0390D,2008,11,OLOT (PARC NOU),440,228471,421015,691,145,0,0,11,2,0,0,0,0,13,110,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,5,0,
0390D,2008,12,OLOT (PARC NOU),440,228471,421015,10,0,0,0,0,0,0,80,25,0,0,0,24,15,0,3,0,0,0,0,0,0,0,0,30,1330,639,150,30,0,0
0390D,2009,1,OLOT (PARC NOU),440,228471,421015,3,0,0,0,0,70,0,0,188,24,1,0,0,0,0,0,0,0,30,9,0,21,4,0,42,0,0,0,0,1,297
0390D,2009,2,OLOT (PARC NOU),440,228471,421015,97,154,63,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,
0390D,2009,3,OLOT (PARC NOU),440,228471,421015,14,17,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,152
0390D,2009,4,OLOT (PARC NOU),440,228471,421015,52,79,0,0,0,17,308,12,0,290,1,87,0,0,16,6,57,14,25,3,0,0,0,0,89,169,8,136,0,309,
0390D,2009,5,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,7,0,4,0,0,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0390D,2009,6,OLOT (PARC NOU),440,228471,421015,0,0,0,0,65,19,0,15,0,0,0,0,3,0,8,0,0,0,65,62,0,0,0,163,62,570,0,0,0,14,
0390D,2009,7,OLOT (PARC NOU),440,228471,421015,11,46,0,69,78,125,63,2,0,0,0,0,0,24,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
0390D,2009,8,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,44,16,60,0,0,0,0,2,0,2,0,0,0,0,4,0,0,114,2,0,0,0,0,0
0390D,2009,9,OLOT (PARC NOU),440,228471,421015,20,0,0,16,0,0,0,0,0,0,0,26,26,283,0,0,69,6,10,19,5,0,0,0,0,8,0,0,0,0,
0390D,2009,10,OLOT (PARC NOU),440,228471,421015,10,0,0,0,0,0,20,0,80,1,0,0,0,0,0,0,0,0,0,307,33,43,0,0,0,0,0,0,0,0,0
0390D,2009,11,OLOT (PARC NOU),440,228471,421015,8,0,0,39,35,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,14,
0390D,2009,12,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7,58,67,7,28,2,0,0,0,0
0390D,2010,1,OLOT (PARC NOU),440,228471,421015,0,0,0,87,6,0,105,0,0,0,0,7,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
0390D,2010,2,OLOT (PARC NOU),440,228471,421015,0,0,0,47,3,0,0,216,60,0,0,0,0,0,105,69,0,185,34,0,2,0,0,0,0,0,0,0,,,
0390D,2010,3,OLOT (PARC NOU),440,228471,421015,0,138,198,42,0,74,129,197,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,3,0,0,0,0,8,0,0
0390D,2010,4,OLOT (PARC NOU),440,228471,421015,92,0,160,55,0,0,6,0,0,0,117,50,65,0,5,22,0,0,2,0,0,1,3,3,1,0,0,0,0,0,
0390D,2010,5,OLOT (PARC NOU),440,228471,421015,260,480,125,223,61,9,1,4,0,3,30,30,183,1,0,0,0,0,0,0,0,0,0,0,0,0,43,7,0,0,0
0390D,2010,6,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,1,0,0,94,28,30,0,25,345,0,0,0,133,95,0,0,0,0,0,0,19,217,14,3,207,
0390D,2010,7,OLOT (PARC NOU),440,228471,421015,185,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,40,2,0,0
0390D,2010,8,OLOT (PARC NOU),440,228471,421015,0,95,0,0,0,0,0,0,182,46,260,109,7,57,13,0,0,164,75,0,0,0,0,-3,0,0,0,0,0,0,0
0390D,2010,9,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,151,52,0,0,0,26,0,0,0,410,282,18,0,0,34,0,5,348,0,0,0,0,0,0,
0390D,2010,10,OLOT (PARC NOU),440,228471,421015,0,0,40,0,0,0,0,2,429,636,1410,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71,8
0390D,2010,11,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,85,0,0,-3,0,0,0,6,8,0,8,0,0,12,0,0,0,0,0,0,2,0,145,22,
0390D,2010,12,OLOT (PARC NOU),440,228471,421015,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,189,48,56,0,0,0,0,0,0,52
0390D,2011,1,OLOT (PARC NOU),440,228471,421015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,244,84,71,0
0390D,2011,2,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,34,0,0,3,0,0,0,0,0,0,0,0,,,
0390D,2011,3,OLOT (PARC NOU),440,228471,421015,0,55,28,15,0,0,38,11,0,0,0,780,12,568,573,3,1,0,0,0,0,16,0,0,0,46,15,16,110,0,0
0390D,2011,4,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,215,94,14,8,5,45,160,207,1,
0390D,2011,5,OLOT (PARC NOU),440,228471,421015,0,0,0,11,121,5,13,0,2,0,0,214,0,468,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,104,141
0390D,2011,6,OLOT (PARC NOU),440,228471,421015,0,0,18,189,10,17,174,180,0,233,0,0,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0390D,2011,7,OLOT (PARC NOU),440,228471,421015,0,0,48,42,0,133,0,0,0,0,0,160,149,2,8,0,36,48,6,0,10,0,0,0,18,556,59,2,0,0,0
0390D,2011,8,OLOT (PARC NOU),440,228471,421015,0,0,55,8,43,0,0,0,0,0,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,160
0390D,2011,9,OLOT (PARC NOU),440,228471,421015,0,40,61,0,0,0,0,0,0,0,0,0,0,0,0,0,872,136,0,0,0,0,0,155,0,0,0,0,0,0,
0390D,2011,10,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,17,82,0,0,293,141,9,0,0
0390D,2011,11,OLOT (PARC NOU),440,228471,421015,14,36,382,215,45,225,1,0,0,0,0,0,10,25,-4,590,0,0,,,,,0,0,0,0,0,0,0,0,
0390D,2011,12,OLOT (PARC NOU),440,228471,421015,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2012,1,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0
0390D,2012,2,OLOT (PARC NOU),440,228471,421015,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0390D,2012,3,OLOT (PARC NOU),440,228471,421015,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,260,206,0,0,0,0,0,0,0,0,0
0390D,2012,4,OLOT (PARC NOU),440,228471,421015,0,0,0,198,75,8,8,26,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0390D,2012,5,OLOT (PARC NOU),440,228471,421015,0,0,0,4,0,63,0,0,0,0,0,0,44,73,0,0,9,11,72,35,71,0,0,0,5,1,0,0,0,139,0
0390D,2012,6,OLOT (PARC NOU),440,228471,421015,0,0,210,0,0,0,0,0,0,15,20,178,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,
0390D,2012,7,OLOT (PARC NOU),440,228471,421015,29,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2012,8,OLOT (PARC NOU),440,228471,421015,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,12,0,0,390,70,150,0
0390D,2012,9,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,35,225,0,150,95,0,0,0,0,0,260,,0,3,0,0,0,0,1,0,50,480,0,
0390D,2012,10,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,150,10,66,0,58,0,0,0,25,40,295,35,19,0,0,120,0,0,0,0,420,10
0390D,2012,11,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,11,0,0,7,0,0,0,5,0,2,0,70,30,0,2,0,0,0,0,0,108,69,0,0,,
0390D,2012,12,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2013,1,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,80,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2013,2,OLOT (PARC NOU),440,228471,421015,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,22,38,0,0,0,0,50,136,,,
0390D,2013,3,OLOT (PARC NOU),440,228471,421015,0,0,0,320,620,20,0,0,0,0,4,80,2,0,0,26,58,0,35,1,0,4,54,10,0,55,65,44,0,0,0
0390D,2013,4,OLOT (PARC NOU),440,228471,421015,76,55,0,125,92,0,0,39,0,0,0,0,0,0,0,0,0,11,49,0,0,0,0,0,215,173,102,78,248,0,
0390D,2013,5,OLOT (PARC NOU),440,228471,421015,0,4,0,19,0,0,9,46,10,3,0,0,0,2,147,10,164,-4,217,62,0,0,4,61,5,0,11,82,54,3,0
0390D,2013,6,OLOT (PARC NOU),440,228471,421015,0,0,0,66,2,0,28,35,35,0,0,0,0,0,0,0,2,26,0,0,126,0,16,0,0,0,0,0,0,0,
0390D,2013,7,OLOT (PARC NOU),440,228471,421015,0,0,8,0,0,0,0,0,0,1,9,5,0,183,0,71,92,168,484,22,3,0,112,0,0,0,0,84,0,0,0
0390D,2013,8,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,1,0,0,0,0,356,0,0,90,0,0,60,0,0,0,6,314,0,193,17,4,0,0,0
0390D,2013,9,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,187,0,0,129,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,
0390D,2013,10,OLOT (PARC NOU),440,228471,421015,0,2,52,125,48,22,0,0,0,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2013,11,OLOT (PARC NOU),440,228471,421015,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,595,760,155,0,0,0,0,0,0,0,0,0,0,0,0,
0390D,2013,12,OLOT (PARC NOU),440,228471,421015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,90,0,0,0,0,2,0,0,0,0,0,0,0
0390D,2014,1,OLOT (PARC NOU),440,228471,421015,0,0,0,65,0,0,0,0,0,0,4,0,0,1,0,0,0,137,4,8,0,19,0,0,0,0,0,0,74,15,1
0390D,2014,2,OLOT (PARC NOU),440,228471,421015,74,0,0,6,0,0,15,0,15,51,0,0,0,0,43,130,0,0,0,0,21,0,0,0,39,22,0,0,,,
0390D,2014,3,OLOT (PARC NOU),440,228471,421015,0,133,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,145,0,0,0,23,35,0
0390D,2014,4,OLOT (PARC NOU),440,228471,421015,0,25,88,26,0,0,0,4,0,0,129,0,0,0,0,0,0,0,10,110,89,24,3,53,0,57,0,4,41,0,
0390D,2014,5,OLOT (PARC NOU),440,228471,421015,182,0,0,0,0,0,0,0,0,9,0,97,8,0,0,0,0,0,0,51,8,0,7,0,41,87,51,252,37,44,5
0390D,2014,6,OLOT (PARC NOU),440,228471,421015,0,4,0,3,0,0,0,0,0,0,0,4,6,92,135,2,172,61,0,0,0,0,4,16,5,98,0,0,115,0,
0390D,2014,7,OLOT (PARC NOU),440,228471,421015,0,30,6,7,0,275,115,2,0,0,0,6,91,0,0,0,0,3,0,35,0,0,0,16,153,0,0,296,27,0,0
0390D,2014,8,OLOT (PARC NOU),440,228471,421015,41,103,0,2,24,3,132,14,0,0,0,14,0,20,14,0,0,0,190,45,5,690,0,0,0,0,0,10,25,198,0
0390D,2014,9,OLOT (PARC NOU),440,228471,421015,0,0,0,20,482,34,0,12,98,0,0,0,0,30,0,4,0,0,0,0,0,0,0,14,0,0,0,530,179,9,
0390D,2014,10,OLOT (PARC NOU),440,228471,421015,9,0,0,272,0,0,0,0,0,7,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2014,11,OLOT (PARC NOU),440,228471,421015,0,0,150,0,0,0,0,0,4,0,0,0,0,31,0,2,0,0,0,2,0,0,65,6,116,97,179,532,869,,
0390D,2014,12,OLOT (PARC NOU),440,228471,421015,5,0,7,15,2,0,0,0,0,0,0,0,0,140,56,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0390D,2015,1,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,48,82,0,0,0,0,0,0,0,0,0,9,0,0
0390D,2015,2,OLOT (PARC NOU),440,228471,421015,0,-3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,2,0,0,,,
0390D,2015,3,OLOT (PARC NOU),440,228471,421015,0,0,0,212,0,0,0,0,0,0,0,0,179,42,12,7,14,0,0,176,461,70,47,37,0,0,0,0,0,0,0
0390D,2015,4,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,48,73,47,0,1,0,52,0,0,80,2,0,58,0,
0390D,2015,5,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,81,0,0,0,0,0,0,0,0,0,21,185
0390D,2015,6,OLOT (PARC NOU),440,228471,421015,7,-3,0,0,0,0,0,63,241,1010,9,3,2,285,91,164,0,0,0,0,0,219,139,0,0,0,0,0,0,0,
0390D,2015,7,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,279,0,340,0,0,0,0,22,207,259
0390D,2015,8,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,41,40,0,0,9,0,150,48,1,161,316,0,0,0,55,0,0,0,0,0,0,0,0,0
0390D,2015,9,OLOT (PARC NOU),440,228471,421015,30,114,50,28,0,0,0,0,0,34,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,664,172,
0390D,2015,10,OLOT (PARC NOU),440,228471,421015,46,10,0,0,0,0,0,0,0,0,0,254,48,5,0,0,3,2,0,0,0,0,0,0,0,49,0,0,0,0,0
0390D,2015,11,OLOT (PARC NOU),440,228471,421015,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,
0390D,2015,12,OLOT (PARC NOU),440,228471,421015,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2016,1,OLOT (PARC NOU),440,228471,421015,0,0,1,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2016,2,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,-4,26,0,0,10,5,0,0,111,0,0,0,0,0,0,7,0,0,0,6,151,159,0,0,,
0390D,2016,3,OLOT (PARC NOU),440,228471,421015,0,0,0,42,3,0,68,0,0,0,0,0,0,0,0,310,74,32,93,182,0,0,0,0,0,0,0,0,0,0,0
0390D,2016,4,OLOT (PARC NOU),440,228471,421015,14,0,0,212,105,0,51,0,0,0,0,0,0,0,0,0,0,0,0,154,88,167,112,0,0,0,71,13,15,13,
0390D,2016,5,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,6,31,189,62,2,202,27,12,99,0,0,147,0,0,0,20,0,0,0,0,0,18,75,18,89
0390D,2016,6,OLOT (PARC NOU),440,228471,421015,34,0,151,83,1,55,0,7,0,43,42,0,7,0,127,0,69,64,0,0,0,0,0,0,0,0,0,0,0,317,
0390D,2016,7,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,29,0,0,0,0,76,0,0,0,0,0,0,0,16,9,0,0,0,0,14,0,0,0,178
0390D,2016,8,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,100,9,0,21,5,0,0,0,0,0,0,0,0,223,0,0
0390D,2016,9,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,113,46,0,0,61,3,0,0,149,0,0,0,0,0,0,0,5,0,0,0,0,0,
0390D,2016,10,OLOT (PARC NOU),440,228471,421015,147,0,3,0,0,148,0,0,0,0,0,241,332,13,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0
0390D,2016,11,OLOT (PARC NOU),440,228471,421015,0,0,0,0,80,12,74,0,0,0,0,0,0,0,0,0,0,0,0,120,255,6,158,0,0,274,0,0,118,0,
0390D,2016,12,OLOT (PARC NOU),440,228471,421015,0,0,0,590,143,0,0,0,0,0,0,0,0,0,9,191,0,0,20,35,0,0,0,0,0,0,0,0,0,0,0
0390D,2017,1,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,235,22,160,0,0,80,20,238,23,0,0,0
0390D,2017,2,OLOT (PARC NOU),440,228471,421015,0,8,0,2,2,0,367,0,0,0,39,60,376,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
0390D,2017,3,OLOT (PARC NOU),440,228471,421015,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,7,0,0,0,0,0,21
0390D,2017,4,OLOT (PARC NOU),440,228471,421015,0,0,3,0,0,0,0,0,0,119,0,0,0,70,56,0,0,0,0,0,0,0,0,0,134,338,42,0,0,17,
0390D,2017,5,OLOT (PARC NOU),440,228471,421015,0,32,24,3,6,10,0,0,0,12,11,0,0,21,0,0,0,41,17,0,0,1,0,0,0,0,0,0,14,0,0
0390D,2017,6,OLOT (PARC NOU),440,228471,421015,73,153,12,53,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,123,
0390D,2017,7,OLOT (PARC NOU),440,228471,421015,15,0,0,0,0,0,0,0,50,164,0,0,0,0,0,0,0,0,0,0,12,0,385,0,2,0,0,0,0,0,0
0390D,2017,8,OLOT (PARC NOU),440,228471,421015,23,0,0,0,8,0,2,4,53,51,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,334
0390D,2017,9,OLOT (PARC NOU),440,228471,421015,6,0,0,0,0,121,0,0,212,0,0,1,0,214,124,7,0,39,0,0,0,18,7,0,76,8,0,0,0,18,
0390D,2017,10,OLOT (PARC NOU),440,228471,421015,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,228,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2017,11,OLOT (PARC NOU),440,228471,421015,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,
0390D,2017,12,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2018,1,OLOT (PARC NOU),440,228471,421015,5,0,0,0,0,120,190,0,0,31,0,0,30,0,0,0,0,0,0,0,0,0,0,0,176,15,0,0,0,0,0
0390D,2018,2,OLOT (PARC NOU),440,228471,421015,146,0,0,260,464,0,0,0,0,0,0,3,0,0,5,6,148,0,4,4,0,0,0,0,0,180,5,292,,,
0390D,2018,3,OLOT (PARC NOU),440,228471,421015,56,0,0,85,0,9,0,0,0,0,0,6,0,27,0,0,1,0,35,0,0,0,0,79,81,0,3,0,0,0,0
0390D,2018,4,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,3,19,510,13,548,137,27,139,63,0,0,0,0,0,0,0,0,0,0,0,0,0,28,87,0,
0390D,2018,5,OLOT (PARC NOU),440,228471,421015,0,0,0,0,30,37,65,67,212,119,0,324,2,14,0,0,0,12,109,40,0,437,29,0,24,0,0,15,16,132,21
0390D,2018,6,OLOT (PARC NOU),440,228471,421015,23,0,125,59,293,56,68,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,
0390D,2018,7,OLOT (PARC NOU),440,228471,421015,0,0,0,0,46,0,167,4,10,226,94,0,0,0,0,276,0,0,0,0,0,310,0,54,2,0,0,0,8,-3,0
0390D,2018,8,OLOT (PARC NOU),440,228471,421015,4,0,0,0,0,0,4,3,242,0,2,10,129,0,0,0,187,0,0,0,0,0,2,11,0,0,3,0,12,6,34
0390D,2018,9,OLOT (PARC NOU),440,228471,421015,0,0,339,19,12,126,109,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,
0390D,2018,10,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,19,100,46,362,12,0,0,0,700,245,17,98,89,4,0,0,0,0,0,0,81,162,42,0,119,212
0390D,2018,11,OLOT (PARC NOU),440,228471,421015,0,0,0,0,148,0,0,176,0,0,0,0,0,51,163,31,327,268,68,6,0,2,32,0,5,2,0,0,0,1,
0390D,2018,12,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,42,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2019,1,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,6,39,0,0,4
0390D,2019,2,OLOT (PARC NOU),440,228471,421015,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
0390D,2019,3,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,59,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,2019,4,OLOT (PARC NOU),440,228471,421015,0,136,91,0,105,0,15,39,146,31,0,0,0,0,52,0,0,0,0,82,1,54,23,19,14,1,0,0,0,0,
0390D,2019,5,OLOT (PARC NOU),440,228471,421015,82,63,87,1,0,0,0,0,0,6,117,0,0,0,0,83,52,17,0,84,3,0,11,63,0,0,0,13,0,0,0
0390D,2019,6,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,2,198,2,19,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,
0390D,2019,7,OLOT (PARC NOU),440,228471,421015,0,0,106,0,0,0,2,25,16,0,0,0,0,34,0,0,8,64,0,0,0,0,0,0,0,0,179,0,0,0,0
